team_id,team_name
1610610025,Chicago Stags
1610610033,Sheboygan Redskins
1610616833,East NBA All Stars East
1610612741,Chicago Bulls
12303,Tel Aviv Maccabi Elite
12325,Flamengo Flamengo
1610612758,Cincinnati Royals
1610612764,Baltimore Bullets
1610612749,Milwaukee Bucks
1610616834,Team LeBron
1610610035,Toronto Huskies
1610612739,Cleveland Cavaliers
1610612743,Denver Nuggets
1610612746,Los Angeles Clippers
1610610031,Pittsburgh Ironmen
1610612737,Tri-Cities Blackhawks
1610610023,Anderson Packers
1610612737,St. Louis Hawks
1610612744,Golden State Warriors
1610612750,Minnesota Timberwolves
12307,Roma Virtus Lottomatica
12309,Istanbul Efes Pilsen
94,Milano Armani Jeans Milano
1610612752,New York Knicks
1610612757,Portland Trail Blazers
1610612763,Memphis Grizzlies
1610612740,New Orleans Hornets
1610612760,Oklahoma City Thunder
1610612740,New Orleans Pelicans
1610610028,Detroit Falcons
12318,MMT Estudiantes MMT Estudiantes
12315,Real Madrid Real Madrid
12304,Barcelona Regal FC
12324,Bilbao Basket
1610612744,Philadelphia Warriors
1610616834,West NBA All Stars West
1610612744,San Francisco Warriors
1610612746,Buffalo Braves
1610612745,Houston Rockets
1610612751,New Jersey Nets
1610612762,Utah Jazz
1610612748,Miami Heat
12311,Unicaja Malaga Unicaja Malaga
1610612758,Rochester Royals
1610612755,Syracuse Nationals
1610612764,Capital Bullets
12305,Lyon-Villeurbanne Adecco ASVEL
12315,Madrid Real Madrid
12304,Barcelona FC Barcelona Lassa
1610610037,Waterloo Hawks
1610612763,Vancouver Grizzlies
12304,Barcelona Winterthur FC
45,China Team China
1610612746,LA Clippers
94,Milano Olimpia Milano
1610612758,Kansas City Kings
1610612746,San Diego Clippers
1610612740,New Orleans/Oklahoma City Hornets
12306,Khimki BC
12304,Barcelona FC Barcelona Regal
1610616833,Team Giannis
1610610034,St. Louis Bombers
1610610029,Indianapolis Jets
1610612737,Milwaukee Hawks
1610612758,Sacramento Kings
1610612753,Orlando Magic
1610612751,Brooklyn Nets
1610610026,Cleveland Rebels
1610610036,Washington Capitols
1610610024,Baltimore Bullets
1610612760,Seattle SuperSonics
1610612766,Charlotte Hornets
1610612766,Charlotte Bobcats
1610612765,Ft. Wayne Zollner Pistons
1610610027,Denver Nuggets
1610612747,Los Angeles Lakers
1610612755,Philadelphia 76ers
1610612758,Kansas City-Omaha Kings
1610612762,New Orleans Jazz
1610612759,San Antonio Spurs
1610612742,Dallas Mavericks
12317,Lottomatica Lottomatica Roma
12321,Istanbul Fenerbahce Ulker
1610612738,Boston Celtics
1610610030,Indianapolis Olympians
1610612745,San Diego Rockets
1610616833,Team Durant
1610610032,Providence Steamrollers
1610612747,Minneapolis Lakers
1610612737,Atlanta Hawks
1610612764,Washington Bullets
1610612764,Washington Wizards
12323,Berlin Alba Berlin
1610612765,Detroit Pistons
1610612764,Chicago Zephyrs
1610612756,Phoenix Suns
1610612754,Indiana Pacers
1610612761,Toronto Raptors
94,Milano EA7 Emporio Armani Milano
1610616834,Team Stephen
